ncei_id,location_name,ncei_magnitude,damage_order,mag_body_wave,published,damage_order_total,houses_damaged_total,houses_damaged_order_total,country,region_code,injuries,injuries_order,houses_destroyed,houses_destroyed_order,houses_damaged,houses_damaged_order,mag_moment,mag_surface_wave,injuries_total,injuries_order_total,houses_destroyed_total,houses_destroyed_order_total,deaths,deaths_order,damage_millions,deaths_total,deaths_order_total,damage_millions_total,intensity,usgs_id,time,latitude,longitude,depth,usgs_magnitude,place,sig,mmi,alert,magnitude,year,depth_category,region
5599,AFGHANISTAN:  HINDU KUSH:  PARVAN,5.0,1.0,5.0,True,,,,AFGHANISTAN,40,20.0,1.0,,2.0,,2.0,5.0,4.6,20.0,1.0,,2.0,4.0,1.0,,4.0,1.0,,,usp000afvt,2001-06-01 14:00:43.620000+00:00,35.169,69.389,62.1,5.0,"14 km ENE of Jabal os Saraj, Afghanistan",385,3.471,,5.0,2001,intermediate,AFGHANISTAN:  HINDU KUSH:  PARVAN
5601,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",8.4,4.0,6.7,True,4.0,,,PERU,160,2713.0,4.0,22399.0,4.0,,,8.4,8.2,2713.0,4.0,25399.0,4.0,77.0,2.0,,103.0,3.0,200.0,8.0,official20010623203314130_33,2001-06-23 20:33:14.130000+00:00,-16.265,-73.641,33.0,8.4,"6 km SSW of Atico, Peru",1086,8.112,,8.4,2001,intermediate,AYACUCHO
5604,"PERU:  AREQUIPA, ARICA",7.6,2.0,6.6,True,2.0,,,PERU,160,30.0,1.0,200.0,3.0,,,7.6,7.3,30.0,1.0,200.0,3.0,1.0,1.0,,1.0,1.0,,,usp000aj40,2001-07-07 09:38:43.520000+00:00,-17.543,-72.077,33.0,7.6,"51 km SW of Punta de Bombón, Peru",889,6.904,,7.6,2001,intermediate,ARICA
5607,PERU:  ANTABAMA,5.8,2.0,5.4,True,2.0,,,PERU,160,15.0,1.0,,3.0,,,5.8,5.5,15.0,1.0,,3.0,4.0,1.0,,4.0,1.0,,,usp000am2s,2001-08-09 02:06:59.930000+00:00,-14.258,-72.683,33.0,5.8,"7 km WSW of Turpay, Peru",518,6.008,,5.8,2001,intermediate,PERU:  ANTABAMA
5611,CHINA:  YUNNAN PROVINCE:  YONGSHENG,5.6,2.0,5.3,True,2.0,,,CHINA,30,220.0,3.0,3400.0,4.0,3400.0,4.0,5.6,5.5,220.0,3.0,3400.0,4.0,1.0,1.0,,1.0,1.0,,,usp000arq9,2001-10-27 05:35:39.720000+00:00,26.316,100.648,10.0,5.6,"74 km SE of Lijiang, China",482,6.742,,5.6,2001,shallow,CHINA:  YUNNAN PROVINCE:  YONGSHENG
5615,TAJIKISTAN:  ROGHUN,5.3,2.0,5.2,True,2.0,209.0,3.0,TAJIKISTAN,40,50.0,1.0,,,209.0,3.0,5.3,5.2,50.0,1.0,,,3.0,1.0,,3.0,1.0,,,usp000aw3f,2002-01-09 06:45:57.500000+00:00,38.673,69.902,33.0,5.3,"12 km SSE of Roghun, Tajikistan",432,4.654,,5.3,2002,intermediate,TAJIKISTAN:  ROGHUN
5616,PAPUA NEW GUINEA:  AITAPE,6.7,2.0,6.0,True,2.0,,,PAPUA NEW GUINEA,170,,,200.0,3.0,,,6.7,6.6,,,200.0,3.0,1.0,1.0,,1.0,1.0,,,usp000aw5z,2002-01-10 11:14:56.930000+00:00,-3.212,142.427,11.0,6.7,"11 km SE of Aitape, Papua New Guinea",691,7.685,,6.7,2002,shallow,PAPUA NEW GUINEA:  AITAPE
5620,TURKEY:  AFYON,6.5,2.0,5.7,True,2.0,622.0,3.0,TURKEY,140,318.0,3.0,,,,,6.5,6.4,318.0,3.0,,,44.0,1.0,,44.0,1.0,,,usp000axp7,2002-02-03 07:11:28.410000+00:00,38.573,31.271,5.0,6.5,"5 km NE of Sultanda??, Turkey",650,7.349,,6.5,2002,shallow,TURKEY:  AFYON
5622,IRAN:  BAGHAN,5.4,2.0,5.6,True,2.0,,3.0,IRAN,140,30.0,1.0,,,,,5.4,5.0,30.0,1.0,,,1.0,1.0,,1.0,1.0,,,usp000ayn7,2002-02-17 13:03:52.710000+00:00,28.093,51.755,33.0,5.4,"115 km SW of F?r?z?b?d, Iran",449,4.796,,5.4,2002,intermediate,IRAN:  BAGHAN
5624,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",7.4,3.0,6.6,True,3.0,400.0,3.0,AFGHANISTAN,40,,2.0,300.0,3.0,300.0,3.0,7.4,,,2.0,300.0,3.0,166.0,3.0,,166.0,3.0,,,usp000azhc,2002-03-03 12:08:19.740000+00:00,36.502,70.482,225.6,7.4,"51 km SW of Jurm, Afghanistan",842,5.28,,7.4,2002,deep,RUSTAQ
5625,PHILIPPINES:  MINDANAO,7.5,2.0,6.3,True,2.0,800.0,3.0,PHILIPPINES,170,100.0,2.0,,,800.0,3.0,7.5,7.2,100.0,2.0,,,15.0,1.0,1.714,15.0,1.0,1.714,,usp000azqw,2002-03-05 21:16:09.130000+00:00,6.033,124.249,31.0,7.5,"Mindanao, Philippines",865,6.867,,7.5,2002,intermediate,PHILIPPINES:  MINDANAO
5626,"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN",6.1,4.0,5.9,True,4.0,,,AFGHANISTAN,40,200.0,3.0,1500.0,4.0,1500.0,4.0,6.1,6.2,200.0,3.0,1500.0,4.0,1000.0,3.0,,1000.0,3.0,,,usp000b10y,2002-03-25 14:56:33.820000+00:00,36.062,69.315,8.0,6.1,"16 km E of Nahr?n, Afghanistan",572,7.43,,6.1,2002,shallow,NAHRIN
5627,TAIWAN:  TAIPEI,7.1,2.0,6.4,True,2.0,,,TAIWAN,30,200.0,3.0,100.0,2.0,,,7.1,7.4,200.0,3.0,100.0,2.0,5.0,1.0,,5.0,1.0,,,usp000b1e2,2002-03-31 06:52:50.490000+00:00,24.279,122.179,32.8,7.1,"67 km ENE of Hualien City, Taiwan",776,5.888,,7.1,2002,intermediate,TAIWAN:  TAIPEI
